"start.station.id","start.station.latitude","start.station.longitude","trips_departed","city","start.station.name"
326,40.72953837,-73.98426726,11,"NYC","E 11 St & 1 Ave"
3260,40.7270636334831,-73.9966213703155,5,"NYC","Mercer St & Bleecker St"
3263,40.7295149622495,-73.990752696991,7,"NYC","Cooper Square & Astor Pl"
328,40.72405549,-74.00965965,5,"NYC","Watts St & Greenwich St"
3282,40.78307,-73.95939,7,"NYC","5 Ave & E 88 St"
3284,40.78141070019,-73.9559590816498,6,"NYC","E 88 St & Park Ave"
3286,40.7806284,-73.9521667,6,"NYC","E 89 St & 3 Ave"
3289,40.7901794809508,-73.9728891849518,5,"NYC","W 90 St & Amsterdam Ave"
3292,40.7857851,-73.957481,6,"NYC","5 Ave & E 93 St"
3295,40.79127,-73.964839,9,"NYC","Central Park W & W 96 St"
330,40.71450451,-74.00562789,5,"NYC","Reade St & Broadway"
3301,40.7919557,-73.968087,12,"NYC","Columbus Ave & W 95 St"
3305,40.7811222993417,-73.9496558904648,8,"NYC","E 91 St & 2 Ave"
3307,40.7941654,-73.974124,6,"NYC","West End Ave & W 94 St"
3312,40.7817212,-73.94594,6,"NYC","1 Ave & E 94 St"
3318,40.7839636,-73.9471673,12,"NYC","2 Ave & E 96 St"
332,40.71219906,-73.97948148,9,"NYC","Cherry St"
3320,40.7940666081855,-73.9628684520721,14,"NYC","Central Park West & W 100 St"
3336,40.787801,-73.953559,5,"NYC","E 97 St & Madison Ave"
3349,40.6729679,-73.97087984,12,"NYC","Grand Army Plaza & Plaza St West"
3354,40.668132,-73.97363831,6,"NYC","3 St & Prospect Park West"
3356,40.7746671,-73.98470567,5,"NYC","Amsterdam Ave & W 66 St"
3357,40.8008363,-73.9664492472,6,"NYC","W 106 St & Amsterdam Ave"
336,40.73047747,-73.99906065,5,"NYC","Sullivan St & Washington Sq"
3360,40.7829391,-73.9786517,6,"NYC","Amsterdam Ave & W 79 St"
3362,40.7781314,-73.96069399,6,"NYC","Madison Ave & E 82 St"
3365,40.6703837,-73.97839676,5,"NYC","3 St & 7 Ave"
3367,40.7922553,-73.95249933,6,"NYC","5 Ave & E 103 St"
